# DBD known servers — shared address book shipped with the app.
# Format: regionCode|ip|port|lastSeenUnix
# The beacon probes the unstable regions (Ohio, Canada, London). Curated from real connections.
# Updated from the maintainer's learned pool.
us-east-2|18.191.227.235|7787|1782097255
us-east-2|3.135.61.162|7777|1782098955
us-east-2|16.59.125.105|7799|1782099335
us-east-2|13.58.232.80|7782|1782099295
us-east-2|3.15.9.87|7795|1782094895
us-east-2|18.225.222.51|7794|1782093235
us-east-2|3.15.9.87|7794|1782095835
us-east-2|18.188.119.91|7792|1782095135
us-east-2|3.150.113.239|7793|1782099415
us-east-2|18.225.222.51|7783|1782094135
us-east-2|18.225.222.51|7788|1782093675
us-east-2|18.225.222.51|7798|1782092335
us-east-2|3.141.100.233|7778|1782093115
us-east-2|3.141.100.233|7782|1782098395
us-east-2|18.117.182.39|7793|1782095175
us-east-2|3.141.100.233|7792|1782094915
us-east-2|3.141.100.233|7798|1782097715
us-east-2|18.191.85.28|7783|1782205305
us-east-2|18.191.85.28|7788|1782205305
us-east-2|18.191.85.28|7791|1782206243
us-east-2|18.191.85.28|7796|1782205363
us-east-2|18.222.112.41|7783|1782270663
us-east-2|18.222.112.41|7789|1782270683
us-east-2|18.226.227.206|7795|1782274413
us-east-2|18.191.192.95|7780|1782086759
us-east-2|18.224.135.149|7780|1782086759
us-east-2|3.145.143.168|7780|1782086759
us-east-2|18.225.57.244|7781|1782086759
us-east-2|18.191.192.95|7781|1782086759
us-east-2|18.191.151.4|7778|1782086759
us-east-2|3.14.149.209|7777|1782086759
us-east-2|18.224.135.149|7781|1782086759
us-east-2|3.145.143.168|7781|1782086759
us-east-2|18.225.57.244|7782|1782086759
us-east-2|18.191.151.4|7779|1782086759
us-east-2|3.14.149.209|7778|1782086759
us-east-2|18.224.135.149|7782|1782086759
us-east-2|18.191.192.95|7783|1782086759
us-east-2|18.191.151.4|7780|1782086759
us-east-2|3.14.149.209|7779|1782086759
us-east-2|18.224.135.149|7783|1782086759
us-east-2|18.225.57.244|7784|1782086759
us-east-2|18.191.192.95|7784|1782086759
us-east-2|18.191.151.4|7781|1782086759
us-east-2|3.14.149.209|7780|1782086759
us-east-2|18.224.135.149|7784|1782086759
us-east-2|3.145.143.168|7784|1782086759
us-east-2|18.225.57.244|7785|1782086759
